dept_id	emp_id	manager_id	emp_fname	emp_lname	city	start_date	zip_code	street	bene_health_ins	bene_life_ins	mydatetime	mydecimal	mytime
400	992	1576	Joyce	Butterfield	Cambridge	08/13/1993	02140    	119 Adams Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	1013	703	Joseph	Barker	Bedford	09/10/1993	01730    	58 West Drive	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	1021	129	Paul	Sterling	Concord	10/28/1993	01742    	112 Endicott Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	1039	129	Shih Lin	Chao	Lexington	11/11/1993	02173    	59 Holyoke Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1062	1576	Barbara	Blaikie	Needham	11/20/1993	02192    	66 Beaumont Terrace	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	1090	582	Susan	Smith	Houston	12/13/1993	77079    	177 Johnson Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	1101	129	Mark	Preston	Boston	01/09/1994	02124    	49 Constitution Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	1142	129	Alison	Clark	Emeryville	01/19/1994	94608    	56 Carver Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	1162	129	Kevin	Goggin	Wellesley	02/03/1994	02181    	12 Wachusett Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1191	1576	Matthew	Bucceri	Lexington	02/12/1994	02173    	57 Taylor Place	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	1250	582	Emilio	Diaz	Wellesley	02/17/1994	02181    	112 Evergreen Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	1293	1293	Mary Anne	Shea	Lexington	03/01/1994	02173	197 Camden Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	1336	1293	Janet	Bigelow	Waltham	08/25/1995	02154	84 Lunda Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	1390	1293	Jennifer	Litton	Concord	10/05/1995	01742    	17 Downing Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	1446	129	Caroline	Yeung	Atlanta	04/29/1996	30339    	52 Cypress Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	1483	1293	John	Letiecq	Burlington	08/30/1996	01803    	149 Vista Drive	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1507	1576	Ruth	Wetherby	Needham	10/11/1996	02192    	82 Aberdeen Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	1570	703	Anthony	Rebeiro	Waltham	11/27/1996	02154    	39 Moody Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1576	902	Scott	Evans	Concord	12/30/1996	01742    	10-A Sunrise Circle	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	1596	129	Catherine	Pickett	Bedford	02/10/1997	01730    	45 Appleton Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1607	1576	Mark 	Morris	Waltham	04/13/1997	02154    	1 Example Way 	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	1615	703	Sheila	Romero	Bedford	05/20/1997	01730    	1 Oakview Terrace	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1643	1576	Elizabeth	Lambert	Burlington	06/15/1997	01803    	29 Union Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	1658	703	Michael	Lynch	Waltham	08/28/1997	02154    	76 Brookside Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1684	1576	Janet	Hildebrand	Waltham 	09/13/1997	02154    	47 Hilltop Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1740	1576	Robert	Nielsen	Bedford	12/23/1997	01730    	55 Sargent Avenue	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	1751	1576	Alex	Ahmed	Needham	01/10/1998	02192    	114 Cushing Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	999	582	Dorothy	Sullivan	Lexington	08/03/1990	02173    	124 Minuteman Drive	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
